image_path,label,storm_id,basin,region,subregion,timestamp,image_id,class_name,class_code,group_id
data/processed/classification/D-DD/CLS_00001.png,0,1999343S09095,SI,south_indian_ocean,,1999-12-10T12:00:00Z,CLS-IMG00001,Depression / Deep Depression,D-DD,G0000
data/processed/classification/D-DD/CLS_00002.png,0,1999343S11123,SI,south_indian_ocean,,1999-12-11T15:00:00Z,CLS-IMG00002,Depression / Deep Depression,D-DD,G0000
data/processed/classification/D-DD/CLS_00003.png,0,1999357S08076,SI,south_indian_ocean,,2000-01-02T00:00:00Z,CLS-IMG00003,Depression / Deep Depression,D-DD,G0001
data/processed/classification/D-DD/CLS_00004.png,0,2000006S15164,SP,pacific_ocean,southern_pacific,2000-01-07T03:00:00Z,CLS-IMG00004,Depression / Deep Depression,D-DD,G0002
data/processed/classification/D-DD/CLS_00005.png,0,2000019S11127,SI,south_indian_ocean,,2000-01-18T21:00:00Z,CLS-IMG00005,Depression / Deep Depression,D-DD,G0003
data/processed/classification/D-DD/CLS_00007.png,0,2000024S12100,SI,south_indian_ocean,,2000-01-25T12:00:00Z,CLS-IMG00007,Depression / Deep Depression,D-DD,G0005
data/processed/classification/D-DD/CLS_00011.png,0,2000032S11116,SI,south_indian_ocean,,2000-02-03T15:00:00Z,CLS-IMG00010,Depression / Deep Depression,D-DD,G0007
data/processed/classification/D-DD/CLS_00017.png,0,2000060S12086,SI,south_indian_ocean,,2000-03-05T15:00:00Z,CLS-IMG00016,Depression / Deep Depression,D-DD,G0012
data/processed/classification/D-DD/CLS_00020.png,0,2000075S17119,SI,south_indian_ocean,,2000-03-16T18:00:00Z,CLS-IMG00019,Depression / Deep Depression,D-DD,G0014
data/processed/classification/D-DD/CLS_00021.png,0,2000091S14156,SP,pacific_ocean,southern_pacific,2000-03-31T06:00:00Z,CLS-IMG00020,Depression / Deep Depression,D-DD,G0015
data/processed/classification/D-DD/CLS_00022.png,0,2000089S20168,SP,pacific_ocean,southern_pacific,2000-03-31T09:00:00Z,CLS-IMG00021,Depression / Deep Depression,D-DD,G0015
data/processed/classification/D-DD/CLS_00023.png,0,2000091S14156,SP,pacific_ocean,southern_pacific,2000-03-31T18:00:00Z,CLS-IMG00022,Depression / Deep Depression,D-DD,G0015
data/processed/classification/D-DD/CLS_00024.png,0,2000089S20168,SP,pacific_ocean,southern_pacific,2000-04-01T09:00:00Z,CLS-IMG00023,Depression / Deep Depression,D-DD,G0015
data/processed/classification/D-DD/CLS_00026.png,0,2000104S17182,SP,pacific_ocean,southern_pacific,2000-04-16T21:00:00Z,CLS-IMG00024,Depression / Deep Depression,D-DD,G0016
data/processed/classification/D-DD/CLS_00028.png,0,2000105S09127,SI,south_indian_ocean,,2000-04-20T21:00:00Z,CLS-IMG00025,Depression / Deep Depression,D-DD,G0017
data/processed/classification/D-DD/CLS_00030.png,0,2000164N12256,EP,pacific_ocean,eastern_pacific,2000-06-16T15:00:00Z,CLS-IMG00027,Depression / Deep Depression,D-DD,G0019
data/processed/classification/D-DD/CLS_00031.png,0,2000203N17249,EP,pacific_ocean,eastern_pacific,2000-07-21T06:00:00Z,CLS-IMG00028,Depression / Deep Depression,D-DD,G0020
data/processed/classification/D-DD/CLS_00032.png,0,2000202N12131,WP,pacific_ocean,western_pacific,2000-07-22T12:00:00Z,CLS-IMG00029,Depression / Deep Depression,D-DD,G0021
data/processed/classification/D-DD/CLS_00034.png,0,2000214N22155,WP,pacific_ocean,western_pacific,2000-07-31T18:00:00Z,CLS-IMG00031,Depression / Deep Depression,D-DD,G0023
data/processed/classification/D-DD/CLS_00035.png,0,2000214S06080,SI,south_indian_ocean,,2000-08-01T15:00:00Z,CLS-IMG00032,Depression / Deep Depression,D-DD,G0024
data/processed/classification/D-DD/CLS_00036.png,0,2000215N15254,EP,pacific_ocean,eastern_pacific,2000-08-06T12:00:00Z,CLS-IMG00033,Depression / Deep Depression,D-DD,G0025
data/processed/classification/D-DD/CLS_00038.png,0,2000222N14143,WP,pacific_ocean,western_pacific,2000-08-18T09:00:00Z,CLS-IMG00035,Depression / Deep Depression,D-DD,G0023
data/processed/classification/D-DD/CLS_00039.png,0,2000237N08138,WP,pacific_ocean,western_pacific,2000-08-26T06:00:00Z,CLS-IMG00036,Depression / Deep Depression,D-DD,G0027
data/processed/classification/D-DD/CLS_00040.png,0,2000241N15223,EP,pacific_ocean,eastern_pacific,2000-09-01T00:00:00Z,CLS-IMG00037,Depression / Deep Depression,D-DD,G0028
data/processed/classification/D-DD/CLS_00041.png,0,2000240N22115,WP,pacific_ocean,western_pacific,2000-09-01T09:00:00Z,CLS-IMG00038,Depression / Deep Depression,D-DD,G0029
