epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,lr,seconds
1,1.0363822175300832,1.5810739295976657,0.5043478260869565,0.5028059957883264,0.5239205069819822,0.5098306429978239,0.5375375375375375,0.6156463350143453,0.5172568072945268,0.501876570023891,0.00029953760005996916,74.9
2,0.8346081038028146,1.7815997066261533,0.6090177133655394,0.6149118720954813,0.6259666039544618,0.6193510120428964,0.45795795795795796,0.47737143663053966,0.5097383390941497,0.45934254598560786,0.00029815325108927063,50.4
3,0.7879714194895181,0.9063866355039694,0.6286634460547504,0.6306962159620897,0.6470792515507456,0.6375408752354954,0.5735735735735735,0.5796429970348377,0.5956227128718415,0.5766729829045523,0.0002958554880596515,69.5
4,0.7392540205312044,0.9453698414582032,0.6589371980676328,0.6633073875745245,0.6740611941662522,0.6680982163304588,0.6021021021021021,0.6019021739130435,0.6211357738792049,0.6023819037695333,0.00029265847744427303,91.0
5,0.7081756029727955,0.8792568582135278,0.6737520128824477,0.6781587476257352,0.6895352151666604,0.6831739659941272,0.6066066066066066,0.606175303063191,0.6256504307652817,0.6000301113505395,0.000288581929876693,54.2
6,0.6697587073137219,0.8583076112979168,0.6962962962962963,0.6984023771246402,0.71230658673285,0.7042081284653547,0.6036036036036037,0.6205767619477296,0.6184232374577157,0.6085588717252036,0.0002836509786282552,27.1
7,0.6237914891634586,0.9464211524785818,0.7127214170692432,0.7172030950282171,0.7262426895082355,0.7212276026508416,0.6051051051051051,0.5947241716185816,0.6321139890398032,0.5865783339462874,0.00027789602465311383,80.4
8,0.5779994519244454,1.0999858966460816,0.7349436392914653,0.735553516741608,0.7480216190828374,0.7406985533426897,0.575075075075075,0.5991201337650518,0.5878623818649189,0.5736567526541692,0.0002713525491562421,24.9
9,0.5466917016463964,0.97717595905871,0.7545893719806763,0.7577072788130637,0.7680070580644534,0.7621255420614932,0.6036036036036037,0.6131352519283135,0.6103148041936932,0.6105669415120725,0.00026406089484000466,46.0
10,0.5106466998224674,1.0479898137731236,0.7790660225442834,0.7806117578776589,0.7914047542892575,0.7851747193146058,0.6141141141141141,0.6203741324351485,0.6237505256531196,0.6148631185499353,0.0002560660171779821,46.2
11,0.4639731820270827,1.126325242512219,0.7909822866344606,0.7902524223472759,0.8049417493929545,0.7960128195689222,0.6201201201201201,0.6222990233026557,0.6349858499862922,0.6184612199215054,0.0002474172072495276,46.7
12,0.41573141300735844,1.2596194130164367,0.8286634460547504,0.8285016892088682,0.8382262409529647,0.8324634856773203,0.6171171171171171,0.6238420518308221,0.6379198052235159,0.6045921432983321,0.000238167787843871,46.1
13,0.3985016365174126,1.1965533015248295,0.828341384863124,0.8289400164569235,0.8395489929634411,0.8332316595312863,0.6276276276276276,0.641612423262365,0.6369489582158092,0.6374346944595151,0.00022837478470739232,46.0
14,0.36242400567120786,1.227871254578725,0.8447665056360708,0.8471855727217041,0.8555764887366376,0.8509599271311348,0.6066066066066066,0.605420872368104,0.6296718677103312,0.6052335315523422,0.000218098574960932,46.6
15,0.29945069065800417,1.1639531811436374,0.8698872785829308,0.8711401250530071,0.8795148303341532,0.8747956385130344,0.6306306306306306,0.6285488505747127,0.6545892809176205,0.632413697353044,0.00020740251485476348,25.1
16,0.29144413229348004,1.5129439360028631,0.8727858293075684,0.8729419944957435,0.8793112731643598,0.8758095618418525,0.5885885885885885,0.5961850840115024,0.6122107591110204,0.5878069162044722,0.00019635254915624213,24.9
17,0.2544075879113878,1.3259275013262086,0.8985507246376812,0.89882084411869,0.9040546472193884,0.901256677897788,0.6351351351351351,0.6544602886032138,0.6364113852099715,0.6389695853157682,0.00018501680457838585,25.0
18,0.22437605496957874,1.5474074370152242,0.9043478260869565,0.9067300331679484,0.9104033609312996,0.9084771668610994,0.5900900900900901,0.6155322636300897,0.5883639873072617,0.5765992886220648,0.00017346516975603465,46.9
19,0.21593182979574527,1.5292470034536298,0.9117552334943639,0.9129863302735207,0.9176626869562117,0.9151419071971301,0.6081081081081081,0.6286994837182351,0.6122912183426535,0.6110055353894236,0.00016176886435917675,25.0
20,0.17310895163463894,1.5621058726095938,0.9339774557165862,0.9345195241017442,0.9367255609829,0.9355927329912846,0.6201201201201201,0.6402104206363841,0.6230144033805906,0.6246728393647731,0.00015,25.0
21,0.14909159181198636,1.8159756792916193,0.9410628019323671,0.9399611804694789,0.943913040358251,0.9418005613415,0.6021021021021021,0.6227585035504515,0.6057212820142501,0.6015045410808479,0.00013823113564082325,25.2
22,0.14698412229281502,1.6346065892471566,0.9513687600644123,0.9515206278541047,0.9539977086075534,0.9527005879592134,0.6156156156156156,0.6317493265417871,0.6172309716342746,0.6194088987876417,0.00012653483024396538,25.5
23,0.12079136580852687,1.6780149020232238,0.9539452495974236,0.9537626284826085,0.9565291847097921,0.9550861640334274,0.6156156156156156,0.6238887859348999,0.6282504905864779,0.6175020414144883,0.00011498319542161417,24.9
24,0.10351774284613113,1.7682719692453608,0.9642512077294686,0.9637859061394075,0.9654479162754357,0.9645708268210675,0.6036036036036037,0.6361026049973418,0.6063957951076907,0.6150864669748078,0.00010364745084375787,25.1
25,0.11733394732605816,1.6542332899105083,0.955877616747182,0.9560379762010152,0.9578035320274983,0.956901569720227,0.5975975975975976,0.6016165067320968,0.6094366135104425,0.6047386002255458,9.259748514523652e-05,47.6
