image_path,label,storm_id,basin,region,subregion,timestamp,image_id,class_name,intensity,difficulty,group_id
data/processed/cyclone/POS_0007.png,1,1999343S11123,SI,south_indian_ocean,,1999-12-12T16:00:00Z,IMG0001,cyclone,strong,,G0000
data/processed/cyclone/POS_0003.png,1,1999343S09095,SI,south_indian_ocean,,1999-12-13T06:00:00Z,IMG0002,cyclone,medium,,G0001
data/processed/cyclone/POS_0017.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-18T18:00:00Z,IMG0006,cyclone,weak,,G0004
data/processed/cyclone/POS_0018.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-19T12:00:00Z,IMG0007,cyclone,weak,,G0004
data/processed/cyclone/POS_0019.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-19T21:00:00Z,IMG0008,cyclone,weak,,G0004
data/processed/cyclone/POS_0020.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-20T09:00:00Z,IMG0009,cyclone,weak,,G0004
data/processed/cyclone/POS_0021.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-21T00:00:00Z,IMG0010,cyclone,weak,,G0004
data/processed/cyclone/POS_0022.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-21T12:00:00Z,IMG0011,cyclone,weak,,G0004
data/processed/cyclone/POS_0023.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-22T03:00:00Z,IMG0012,cyclone,weak,,G0004
data/processed/cyclone/POS_0024.png,1,2000019S11127,SI,south_indian_ocean,,2000-01-22T18:00:00Z,IMG0013,cyclone,weak,,G0004
data/processed/cyclone/PRS_0017.png,1,2000025S15056,SI,south_indian_ocean,,2000-01-29T06:00:00Z,IMG0015,cyclone,strong,,G0006
data/processed/cyclone/POS_0025.png,1,2000032S11116,SI,south_indian_ocean,,2000-02-02T16:00:00Z,IMG0016,cyclone,strong,,G0007
data/processed/cyclone/POS_0026.png,1,2000032S11116,SI,south_indian_ocean,,2000-02-10T00:00:00Z,IMG0017,cyclone,strong,,G0007
data/processed/cyclone/PRS_0047.png,1,2000050S13078,SI,south_indian_ocean,,2000-02-23T12:00:00Z,IMG0020,cyclone,strong,,G0009
data/processed/cyclone/POS_0029.png,1,2000056S17152,SP,pacific_ocean,southern_pacific,2000-02-26T18:00:00Z,IMG0022,cyclone,strong,,G0011
data/processed/cyclone/POS_0030.png,1,2000056S17152,SP,pacific_ocean,southern_pacific,2000-03-01T03:00:00Z,IMG0023,cyclone,strong,,G0011
data/processed/cyclone/PRS_0186.png,1,2000060S17123,SI,south_indian_ocean,,2000-03-02T00:00:00Z,IMG0024,cyclone,strong,,G0012
data/processed/cyclone/PRS_0083.png,1,2000064S19209,SP,pacific_ocean,southern_pacific,2000-03-05T21:00:00Z,IMG0025,cyclone,medium,,G0013
data/processed/cyclone/PRS_0391.png,1,2000064S19209,SP,pacific_ocean,southern_pacific,2000-03-06T21:00:00Z,IMG0026,cyclone,medium,,G0013
data/processed/cyclone/POS_0034.png,1,2000060S12086,SI,south_indian_ocean,,2000-03-09T12:00:00Z,IMG0027,cyclone,medium,,G0012
data/processed/cyclone/PRS_0111.png,1,2000060S17123,SI,south_indian_ocean,,2000-03-09T16:00:00Z,IMG0028,cyclone,strong,,G0012
data/processed/cyclone/POS_0035.png,1,2000067S15189,SP,pacific_ocean,southern_pacific,2000-03-11T03:00:00Z,IMG0029,cyclone,strong,,G0014
data/processed/cyclone/POS_0041.png,1,2000088N08090,NI,north_indian_ocean,bay_of_bengal,2000-03-27T12:00:00Z,IMG0031,cyclone,medium,,G0016
data/processed/cyclone/POS_0042.png,1,2000088N08090,NI,north_indian_ocean,bay_of_bengal,2000-03-28T06:00:00Z,IMG0032,cyclone,medium,,G0016
data/processed/cyclone/POS_0044.png,1,2000088N08090,NI,north_indian_ocean,bay_of_bengal,2000-03-29T18:00:00Z,IMG0033,cyclone,medium,,G0016
data/processed/cyclone/POS_0038.png,1,2000083S17102,SI,south_indian_ocean,,2000-03-30T00:00:00Z,IMG0034,cyclone,strong,,G0017
data/processed/cyclone/POS_0046.png,1,2000089S20168,SP,pacific_ocean,southern_pacific,2000-03-31T18:00:00Z,IMG0035,cyclone,medium,,G0018
data/processed/cyclone/POS_0039.png,1,2000083S17102,SI,south_indian_ocean,,2000-04-01T06:00:00Z,IMG0036,cyclone,strong,,G0017
data/processed/cyclone/POS_0048.png,1,2000089S20168,SP,pacific_ocean,southern_pacific,2000-04-05T06:00:00Z,IMG0037,cyclone,medium,,G0018
data/processed/cyclone/POS_0053.png,1,2000138N16119,WP,pacific_ocean,western_pacific,2000-05-17T06:00:00Z,IMG0041,cyclone,medium,,G0021
data/processed/cyclone/POS_0054.png,1,2000138N16119,WP,pacific_ocean,western_pacific,2000-05-19T00:00:00Z,IMG0042,cyclone,medium,,G0021
data/processed/cyclone/POS_0057.png,1,2000141N18116,WP,pacific_ocean,western_pacific,2000-05-20T00:00:00Z,IMG0043,cyclone,weak,,G0022
