file,ext,bytes,format,width,height,mode,readable,pixel_sha256,zero_fraction,saturated_fraction,pixel_std,pixel_mean,sample_id,cyclone_id,satellite_source
POS_0001.png,.png,35751,PNG,256,256,L,True,7465d3116015ba0b751771aadbbea5f98708790e3a9de5dea9c1d1075f256c3f,0.0,0.0,54.04461748705094,98.09718322753906,POS_0001,1999343S09095,
POS_0002.png,.png,35453,PNG,256,256,L,True,e5141377cd8ef65fdf30169348e71c3e82134284dc07e0f37bd78ef60de95701,0.0,0.0,58.349044268429374,97.85354614257812,POS_0002,1999343S09095,NOAA HURSAT-B1 v07b
POS_0003.png,.png,36131,PNG,256,256,L,True,0afb6b101bf016c6df6a17a1d8f3764d44beac4bc30e72c9e3fd7c7c87642684,0.001007080078125,0.0,56.810923701546095,95.71308898925781,POS_0003,1999343S09095,NOAA HURSAT-B1 v07b
POS_0004.png,.png,37334,PNG,256,256,L,True,5d21582a23768ca5a235e92c5522525f593a11cbaabeae48384e30d7bc9fbb2e,0.0,0.0,46.62880907785997,96.61474609375,POS_0004,1999343S09095,NOAA HURSAT-B1 v07b
POS_0005.png,.png,38826,PNG,256,256,L,True,0c7a2ddce6875f4febd299de8d32bb37cdeb300722281cb2743306e53acf229e,0.025054931640625,0.0,57.97650053657331,86.73904418945312,POS_0005,1999343S11123,NOAA HURSAT-B1 v07b
POS_0006.png,.png,36565,PNG,256,256,L,True,c315360bea5e24e72c191654001be0c22c58079d81684521cc4747cebba3f5d1,0.0,0.0,54.284435430757384,96.022705078125,POS_0006,1999343S11123,NOAA HURSAT-B1 v07b
POS_0007.png,.png,37142,PNG,256,256,L,True,4a36afb77b78ea72e0e6a8cf0e045db74613654c7168b516622b5264cfb86b3e,0.0,0.0,48.77217015874099,101.18667602539062,POS_0007,1999343S11123,NOAA HURSAT-B1 v07b
POS_0008.png,.png,35763,PNG,256,256,L,True,a7789dd97a71ceb6f8e5d8d145b666190d9ba4733b08f32a6b3260a510abbb95,0.001739501953125,0.0,52.004483754112506,89.30018615722656,POS_0008,1999343S11123,NOAA HURSAT-B1 v07b
POS_0009.png,.png,28752,PNG,256,256,L,True,f7bc6383ac27528cc5e5a210cff428197f77d36776276be08f593c38c9afcbab,0.0,0.0,34.4982730624727,47.62309265136719,POS_0009,2000006S15164,NOAA HURSAT-B1 v07b
POS_0010.png,.png,35301,PNG,256,256,L,True,6871962cc7b95a37ea80c28220b8fe80ad98c2729f4fdbdbfc7d7df648c99807,0.0,0.0,48.63349205097431,77.09999084472656,POS_0010,2000006S15164,NOAA HURSAT-B1 v07b
POS_0011.png,.png,32918,PNG,256,256,L,True,9b443762794c3f5c54af5cef413ab47e323202c3437de3fe9e08d122669da3c1,0.0,0.0,43.30260950736104,69.3887939453125,POS_0011,2000006S15164,NOAA HURSAT-B1 v07b
POS_0012.png,.png,34428,PNG,256,256,L,True,a885e701298428ae28663966c436cfa1005477061690886231e8b994130f85a5,0.0,0.0,49.378435714591504,70.78022766113281,POS_0012,2000006S15164,NOAA HURSAT-B1 v07b
POS_0013.png,.png,30891,PNG,256,256,L,True,047e7fe999d35e731b562b9dfddf6fa2c9d1932b9638c85bf3a40ace16d8c400,0.0,0.0,51.911030965409715,68.09761047363281,POS_0013,2000018S15190,NOAA HURSAT-B1 v07b
POS_0014.png,.png,35937,PNG,256,256,L,True,665c9292cbe627c2a2dce118488c25adc2f6703ee57272e9fc35cc3dc44b8ec5,0.0,0.0,55.726074431431314,80.50376892089844,POS_0014,2000018S15190,NOAA HURSAT-B1 v07b
POS_0015.png,.png,37084,PNG,256,256,L,True,be3cf2201787531fb73a90f5673732e7ad07bc272d4c72a5ca6dccfafcb9b95e,0.0,0.0,58.77871335744778,112.57002258300781,POS_0015,2000018S15190,NOAA HURSAT-B1 v07b
POS_0016.png,.png,33598,PNG,256,256,L,True,295a7aa7a82dd5d09e6f22af7488f17637c4a394f9cfb383aa5d81f8a0c30e53,0.0,0.0,57.841959732363534,92.12591552734375,POS_0016,2000018S15190,NOAA HURSAT-B1 v07b
POS_0017.png,.png,36173,PNG,256,256,L,True,413d5a96d671e95ee5f17b2c55e3bdc228cb48dc19e91a4bbdb90fbe6aaad56f,0.0,0.0,56.133947756620216,88.17605590820312,POS_0017,2000019S11127,NOAA HURSAT-B1 v07b
POS_0018.png,.png,36653,PNG,256,256,L,True,6f62763eda4b84667afcdede41841a3f2fefbda463c37da401faa56cff36de4c,0.0,0.0,61.232546753626515,107.22624206542969,POS_0018,2000019S11127,NOAA HURSAT-B1 v07b
POS_0019.png,.png,36991,PNG,256,256,L,True,64d43a364cade2cdb8272d38ceae951c68297c69f840446ee9498edebe009043,0.0,0.0,57.42505517372839,112.50563049316406,POS_0019,2000019S11127,NOAA HURSAT-B1 v07b
POS_0020.png,.png,40173,PNG,256,256,L,True,46d62b87b8b04909623258612e3ed59c24ed0a5fb8b2c6359dfb5dcf25368349,0.000244140625,0.0,57.11990843868222,111.66328430175781,POS_0020,2000019S11127,NOAA HURSAT-B1 v07b
POS_0021.png,.png,38549,PNG,256,256,L,True,859b2cd28e2eb3ebeffdba3a1735a586da7ca0b7970590df74874809d338e24c,0.0,0.0,51.28086769430163,102.66799926757812,POS_0021,2000019S11127,NOAA HURSAT-B1 v07b
POS_0022.png,.png,38508,PNG,256,256,L,True,ea39cd1c2e4370719a3c4a7b4e95f45233c06bafdc7e9a4d965a8ec911bf83ed,0.0,0.0,50.85924479149999,98.9140625,POS_0022,2000019S11127,NOAA HURSAT-B1 v07b
POS_0023.png,.png,37350,PNG,256,256,L,True,3d86389847759ae92709129016c95102dadc5a9dd2cdfa849c000df13e54f842,0.0,0.0,52.11917988670209,87.76954650878906,POS_0023,2000019S11127,NOAA HURSAT-B1 v07b
POS_0024.png,.png,36736,PNG,256,256,L,True,3ef3444bca7d0f3c6932fa19294c684e144906681a8beee045e6afb288fc0a8a,0.0,0.0,46.11105010642698,85.2041015625,POS_0024,2000019S11127,NOAA HURSAT-B1 v07b
